County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd
King,Juanita Beach,L65646-6,8,07/05/2016,Microcystin,<MDL,0.200,No,No
King,Juanita Beach,L65601-6,8,06/27/2016,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L65601-6,8,06/27/2016,Microcystin,<MDL,0.200,No,No
King,Juanita Beach,L65568-6,8,06/20/2016,Microcystin,<MDL,0.200,No,No
King,Juanita Beach,L65530-6,8,06/13/2016,Microcystin,<MDL,0.200,No,No
King,Juanita Beach,L65481-6,8,06/06/2016,Microcystin,<MDL,0.200,No,No
King,Juanita Beach,L64021-5,8,10/26/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L64021-5,8,10/26/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63927-5,8,10/19/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63846-5,8,10/12/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63846-5,8,10/12/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63818-5,8,10/05/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63801-5,8,09/28/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63801-5,8,09/28/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63745-5,8,09/21/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63662-6,8,09/14/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63662-6,8,09/14/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63599-6,8,09/08/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63513-6,8,08/31/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63513-6,8,08/31/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63493-6,8,08/24/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63433-6,8,08/17/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63433-6,8,08/17/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63264-6,8,08/10/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63259-6,8,08/03/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63259-6,8,08/03/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63179-6,8,07/27/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63178-6,8,07/20/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63178-6,8,07/20/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63119-6,8,07/13/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63115-6,8,07/06/2015,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L63115-6,8,07/06/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L63063-6,8,06/29/2015,Microcystin,0.175,0.160,No,No
King,Juanita Beach,L63008-6,8,06/22/2015,Microcystin,0.175,0.160,No,No
King,Juanita Beach,L62981-6,8,06/15/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L62938-6,8,06/08/2015,Microcystin,0.164,0.160,No,No
King,Juanita Beach,L62857-6,8,06/01/2015,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L61451-5,8,10/27/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L61451-5,8,10/27/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L61449-5,8,10/20/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L61278-5,8,10/13/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L61278-5,8,10/13/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L61226-5,8,10/06/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L61225-5,8,09/29/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L61225-5,8,09/29/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L61224-5,8,09/22/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L61053-6,8,09/15/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L61053-6,8,09/15/2014,Microcystin,0.163,0.160,No,No
King,Juanita Beach,L61052-6,8,09/08/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60939-6,8,09/02/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L60939-6,8,09/02/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60865-6,8,08/25/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60765-6,8,08/18/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L60765-6,8,08/18/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60729-6,8,08/11/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60667-6,8,08/04/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L60667-6,8,08/04/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60634-6,8,07/28/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60633-6,8,07/21/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L60633-6,8,07/21/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60567-6,8,07/14/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60493-6,8,07/07/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L60493-6,8,07/07/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60437-6,8,06/30/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60428-6,8,06/23/2014,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L60428-6,8,06/23/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60426-6,8,06/16/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60410-6,8,06/09/2014,Anatoxin-a,0.011,0.010,No,No
King,Juanita Beach,L60410-6,8,06/09/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L60362-6,8,06/02/2014,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58823-5,8,10/28/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58823-5,8,10/28/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58822-5,8,10/21/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58821-5,8,10/14/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58821-5,8,10/14/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58820-5,8,10/07/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58696-5,8,09/30/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58696-5,8,09/30/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58695-5,8,09/23/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58556-6,8,09/16/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58556-6,8,09/16/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58555-6,8,09/09/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58424-6,8,09/03/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58424-6,8,09/03/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58423-6,8,08/26/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58354-6,8,08/19/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58354-6,8,08/19/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58288-6,8,08/12/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58287-6,8,08/05/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58287-6,8,08/05/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58286-6,8,07/29/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58256-6,8,07/22/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58256-6,8,07/22/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58165-6,8,07/15/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58099-6,8,07/08/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58099-6,8,07/08/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58097-6,8,07/01/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58064-6,8,06/24/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58064-6,8,06/24/2013,Microcystin,<MDL,0.160,No,No
King,Juanita Beach,L58025-6,8,06/17/2013,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L58024-6,8,06/10/2013,Anatoxin-a,<MDL,0.010,No,No
King,Juanita Beach,L58024-6,8,06/10/2013,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L57933-6,8,06/03/2013,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L57932-6,8,05/28/2013,Anatoxin-a,0.013,0.010,No,No
King,Juanita Beach,L57932-6,8,05/28/2013,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L56603-5,8,10/22/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L56601-5,8,10/15/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L56601-5,8,10/15/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L56600-5,8,10/08/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L56414-6,8,10/01/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L56414-6,8,10/01/2012,Microcystin,0.052,0.050,No,No
King,Juanita Beach,L56371-6,8,09/17/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L56371-6,8,09/17/2012,Microcystin,0.064,0.050,No,No
King,Juanita Beach,L56370-6,8,09/10/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L56369-6,8,09/04/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L56369-6,8,09/04/2012,Microcystin,0.063,0.050,No,No
King,Juanita Beach,L56224-6,8,08/27/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L56224-6,8,08/27/2012,Microcystin,0.055,0.050,No,No
King,Juanita Beach,L56223-6,8,08/20/2012,Microcystin,0.061,0.050,No,No
King,Juanita Beach,L56154-6,8,08/13/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L56154-6,8,08/13/2012,Microcystin,0.056,0.050,No,No
King,Juanita Beach,L56123-6,8,08/06/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55974-6,8,07/30/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L55974-6,8,07/30/2012,Microcystin,0.051,0.050,No,No
King,Juanita Beach,L55973-6,8,07/23/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55952-6,8,07/16/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L55952-6,8,07/16/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55910-6,8,07/09/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55909-6,8,07/02/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L55909-6,8,07/02/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55908-6,8,06/25/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L55908-6,8,06/25/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55857-6,8,06/18/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55782-6,8,06/11/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L55782-6,8,06/11/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55777-6,8,06/04/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55732-6,8,05/29/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L55732-6,8,05/29/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55697-6,8,05/21/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L55696-6,8,05/14/2012,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L55696-6,8,05/14/2012,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L54376-5,8,10/24/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L54373-5,8,10/17/2011,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L54373-5,8,10/17/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L54221-5,8,10/10/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L54311-5,8,10/03/2011,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L54311-5,8,10/03/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L54217-5,8,09/26/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L54098-6,8,09/19/2011,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L54098-6,8,09/19/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L54097-6,8,09/12/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L53911-6,8,09/06/2011,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L53911-6,8,09/06/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L53910-6,8,08/29/2011,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L53910-6,8,08/29/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L53906-6,8,08/22/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L53782-24,8,08/15/2011,Anatoxin-a,<MDL,0.019,No,No
King,Juanita Beach,L53782-24,8,08/15/2011,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49460-19,8,10/27/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49460-3,8,10/27/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49376-3,8,10/20/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49307-19,8,10/13/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49307-3,8,10/13/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49250-3,8,10/06/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49172-18,8,09/29/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49172-3,8,09/29/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49125-4,8,09/22/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49031-23,8,09/15/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L49031-4,8,09/15/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48942-4,8,09/08/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48940-23,8,08/31/2009,Microcystin,0.063,0.050,No,No
King,Juanita Beach,L48940-4,8,08/31/2009,Microcystin,0.066,0.050,No,No
King,Juanita Beach,L48805-4,8,08/25/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48763-23,8,08/18/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48763-4,8,08/18/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48699-4,8,08/11/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48696-23,8,08/04/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48696-4,8,08/04/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48643-4,8,07/28/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48575-23,8,07/21/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48575-4,8,07/21/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48457-4,8,07/14/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48399-23,8,07/07/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48399-4,8,07/07/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48325-4,8,06/29/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48324-23,8,06/23/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48324-4,8,06/23/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48292-4,8,06/15/2009,Anatoxin-a,<MDL,0.031,No,No
King,Juanita Beach,L48292-4,8,06/15/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48234-4,8,06/09/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48234-12,8,06/09/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48143-4,8,06/02/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48077-4,8,05/26/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48077-12,8,05/26/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48076-23,8,05/18/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L48076-4,8,05/18/2009,Microcystin,<MDL,0.050,No,No
King,Juanita Beach,L47947-4,8,05/12/2009,Microcystin,<MDL,0.050,No,No
King,Andrews Bay - Seward Park,L68836-4,8,10/23/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68836-4,8,10/23/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68754-4,8,10/16/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68754-4,8,10/16/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68702-4,8,10/09/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68702-4,8,10/09/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68679-4,8,10/02/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68679-4,8,10/02/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68618-4,8,09/25/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68618-4,8,09/25/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68559-4,8,09/18/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68559-4,8,09/18/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68544-12,8,09/11/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68544-4,8,09/11/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68544-4,8,09/11/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68544-12,8,09/11/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68481-4,8,09/05/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68481-4,8,09/05/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68442-4,8,08/28/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68442-4,8,08/28/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68379-4,8,08/21/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68379-4,8,08/21/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68303-4,8,08/14/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68303-4,8,08/14/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68289-4,8,08/07/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68289-4,8,08/07/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68231-4,8,07/31/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68231-4,8,07/31/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68165-4,8,07/24/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68165-4,8,07/24/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68116-4,8,07/17/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68116-4,8,07/17/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68070-4,8,07/10/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68070-4,8,07/10/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68060-4,8,07/05/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68060-12,8,07/05/2017,Anatoxin-a,<MDL,0.165,No,No
King,Andrews Bay - Seward Park,L68060-12,8,07/05/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68060-4,8,07/05/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68034-4,8,06/26/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L68006-4,8,06/19/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L67911-4,8,06/12/2017,Microcystin,<MDL,0.150,No,No
King,Andrews Bay - Seward Park,L66445-13,8,10/24/2016,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L66445-13,8,10/24/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L66325-13,8,10/17/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L66237-13,8,10/10/2016,Anatoxin-a,0.010,0.010,No,No
King,Andrews Bay - Seward Park,L66237-13,8,10/10/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L66156-13,8,10/03/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L66105-13,8,09/26/2016,Anatoxin-a,0.026,0.010,No,No
King,Andrews Bay - Seward Park,L66105-13,8,09/26/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L66089-16,8,09/19/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L66054-16,8,09/12/2016,Anatoxin-a,0.013,0.010,No,No
King,Andrews Bay - Seward Park,L66054-16,8,09/12/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L66024-16,8,09/06/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65985-16,8,08/29/2016,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L65985-16,8,08/29/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65985-30,8,08/29/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65943-16,8,08/22/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65902-16,8,08/15/2016,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L65902-16,8,08/15/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65902-27,8,08/15/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65870-16,8,08/08/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65832-16,8,08/01/2016,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L65832-16,8,08/01/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65753-16,8,07/25/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65710-16,8,07/18/2016,Anatoxin-a,0.013,0.010,No,No
King,Andrews Bay - Seward Park,L65710-16,8,07/18/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65680-16,8,07/11/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65646-16,8,07/05/2016,Anatoxin-a,0.025,0.010,No,No
King,Andrews Bay - Seward Park,L65646-16,8,07/05/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65601-16,8,06/27/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65568-16,8,06/20/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65530-16,8,06/13/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L65481-16,8,06/06/2016,Microcystin,<MDL,0.200,No,No
King,Andrews Bay - Seward Park,L64640-2,8,01/14/2016,Microcystin,<MDL,0.800,No,Yes
King,Andrews Bay - Seward Park,L64021-13,8,10/26/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63927-13,8,10/19/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63927-13,8,10/19/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63846-13,8,10/12/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63818-13,8,10/05/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63818-13,8,10/05/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63801-13,8,09/28/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63745-13,8,09/21/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63745-13,8,09/21/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63662-16,8,09/14/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63599-16,8,09/08/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63599-16,8,09/08/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63513-16,8,08/31/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63493-16,8,08/24/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63493-16,8,08/24/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63433-16,8,08/17/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63264-16,8,08/10/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63264-16,8,08/10/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63259-16,8,08/03/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63179-16,8,07/27/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63179-16,8,07/27/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63178-16,8,07/20/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63119-16,8,07/13/2015,Anatoxin-a,<MDL,0.010,No,No
King,Andrews Bay - Seward Park,L63119-16,8,07/13/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63115-16,8,07/06/2015,Microcystin,<MDL,0.160,No,No
King,Andrews Bay - Seward Park,L63063-16,8,06/29/2015,Anatoxin-a,<MDL,0.010,No,No
